title,year,venue,url_or_doi,input_N,fixed_or_variable_N,calibrated_light,single_or_multi_view,RGB_or_gray,output_geometry,output_albedo,output_lighting,joint_decomposition,permutation_invariant,training_data,real_benchmark,core_method,closest_similarity_to_ours,critical_difference
Learning to minify photometric stereo (Li et al.),2019,CVPR,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Learning_to_Minify_Photometric_Stereo_CVPR_2019_paper.pdf,subset selection (~8),variable (selects subset),yes,single,RGB,normals only,no,no,no,no,synthetic,DiLiGenT,learned image-subset selection + normal prediction,related to few-image budget question,calibrated; normal-only; selection not aggregation theory
FacePSNet: lightweight PS for facial details (Wang et al.),2020,CVPR,https://orca.cardiff.ac.uk/130641/,3,fixed (3),yes,single,RGB,normals (facial),no,no,no,no,synthetic faces,real face captures,few-input face normal network,3-image budget extreme case,face-specific; calibrated; normals only
Uncalibrated neural inverse rendering for photometric stereo of general surfaces (Kaya et al.),2021,CVPR,https://arxiv.org/abs/2012.06777,variable,variable,no (uncalibrated),single,RGB,normals + 3D via reconstruction,uncertain,illumination estimate,partial (light+normal),uncertain,synthetic,DiLiGenT,iterative inverse-rendering CNN for uncalibrated PS,DANGEROUS - uncalibrated variable-N inverse rendering on DiLiGenT,no explicit joint albedo/depth; task-brief citation Neural Photometric Stereo (Kaya 2018) could not be verified - no such ECCV 2018 paper found
A dataset of multi-illumination images in the wild (Murmann et al.),2019,ICCV,https://projects.csail.mit.edu/illumination/,25 per scene,fixed (25),yes (fixed rig),single (fixed camera rig),RGB,shape/normal pseudo-GT provided by dataset paper lineage,yes (via downstream),no (lights known rig),dataset only,dataset only,none (dataset),1000+ real scenes x 25 lights,large-scale multi-illumination capture + relighting benchmark,HIGH - defines multi-illumination protocol our oracle-query protocol resembles,dataset not learned method; lights from calibrated rig; task-brief name MiLCD could not be independently verified
Intrinsic images in the wild (Bell-Bala-Snavely),2014,ACM TOG (SIGGRAPH),https://doi.org/10.1145/2601097.2601206,1,fixed (single image),no,single,RGB,shade not geometry,yes (reflectance),no,no,no,crowdsourced pairwise judgments,IIW dataset,human-annotation-trained single-image intrinsic decomposition,albedo-only lineage,no multi-light input; no geometry/lighting output
Rich intrinsic image decomposition of outdoor scenes from multiple views (Laffont-Bousseau-Drettakis),2013,EGSR 2012 / TVCG 19(2),https://doi.org/10.1145/2342896.2343025,multiple (few photos),variable (small sets),no (natural sun/sky),multi-view,RGB,depth proxies (MVS),yes,direct/sky/indirect layers,yes (layered decomposition),no (layer MRF optimization),none (optimization),own outdoor captures,multi-view rich intrinsic decomposition with illumination layers,HIGH - multi-illumination physical decomposition lineage,optimization not learned; multi-view; no variable-N generalization claim; outdoor scenes
Universal photometric stereo network using global lighting contexts (UPS-GC Ikehata),2022,CVPR,https://arxiv.org/abs/2206.02452,arbitrary (variable),variable,no (unknown arbitrary),single,shading-like (RGB in),normals only,no,no,no,yes (global context pooling),synthetic + real mixture,DiLiGenT,global lighting context extraction + order-invariant aggregation + normal regression,HIGHEST-DANGER - universal PS: unknown lights + variable N + single camera,no albedo/depth; no joint decomposition; no relighting; lighting not explicitly recovered as output
PS-Transformer: learning sparse photometric stereo network using self-attention (Ikehata),2021,BMVC,https://arxiv.org/abs/2211.11386,sparse (small N),variable (sparse),yes (calibrated),single,RGB,normals only,no,no,no,yes (self-attention over image set),synthetic,DiLiGenT,attention-based aggregation for sparse calibrated PS,DANGEROUS on attention-based variable-N aggregation precedent,calibrated lights; normals only; title explicitly targets sparse PS
Self-calibrating photometric stereo by neural inverse rendering (SCPS-NIR Li et al.),2022,ECCV,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136620160.pdf,variable (uncertain),variable (uncertain),no (uncalibrated),single,RGB,normals yes,yes (diffuse albedo),per-image light + specular map,yes (light+normal+albedo+specular),uncertain,unsupervised/self-supervised on synthetic,DiLiGenT,neural inverse rendering with specular residual modeling,DANGEROUS - joint uncalibrated factor recovery incl. albedo and per-image lights,no depth output; no explicit variable-N evidence-accumulation study; no held-out light relighting protocol
DANI-Net: uncalibrated photometric stereo by differentiable shadow handling (Li et al.),2023,CVPR,https://arxiv.org/abs/2303.15101,variable (uncertain),variable (uncertain),no (uncalibrated),single,RGB,normals yes,no (uncertain),shading + shadow maps (albedo uncertain),partial,uncertain,synthetic + unsupervised,DiLiGenT,differentiable shadow-aware inverse rendering for uncalibrated PS,related uncalibrated joint recovery,no albedo output; normals-focused; no variable-N protocol
Scalable detailed and mask-free universal photometric stereo (SDM-UniPS Ikehata),2023,CVPR,https://openaccess.thecvf.com/content/CVPR2023/papers/Ikehata_Scalable_Detailed_and_Mask-Free_Universal_Photometric_Stereo_CVPR_2023_paper.pdf,arbitrary (tested with varying counts),variable,no (unknown arbitrary),single,RGB,normals only,no,no,no,yes (transformer aggregation),synthetic + real mixture,DiLiGenT,transformer universal PS without masks; robust to variable input counts,HIGHEST-DANGER - newest universal PS with variable-N transformer,no albedo/depth/light outputs; no joint decomposition; no relighting eval
Uni MS-PS: multi-scale encoder-decoder transformer for universal photometric stereo (Hardy et al.),2024,CVIU 248,https://doi.org/10.1016/j.cviu.2024.104093,arbitrary,variable,no (universal),single,RGB,normals only,no,no,no,yes (transformer),new diverse training data,DiLiGenT + high-res real,transformer universal PS at high resolution,close universal-PS family member,normals only; no joint factor recovery
Light of normals: unified feature representation for universal photometric stereo,2026,ICLR,https://arxiv.org/abs/2506.18882,arbitrary (views x illuminations),variable,no (unknown arbitrary),single (per view),RGB,normals only,no,no,no,yes (unified features + attention),large mixed real+synthetic,441 held-out real scenes,newest universal PS feature representation,DANGEROUS - 2026 SOTA universal PS with held-out real evaluation,normals only; no joint albedo/depth/lighting decomposition
Geometry meets light: leveraging geometric priors for universal photometric stereo under limited multi-illumination cues (Tam-Ikehata et al.),2026,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/37887,limited cues (few images),variable (limited),no (universal),single,RGB,normals (+ geometric priors),no,no,no,yes (uncertain),synthetic + real,universal PS benchmarks,monocular geometric priors compensate limited multi-illumination cues for normal estimation,DANGEROUS - explicitly targets LIMITED multi-illumination cue regime,normals-focused; no joint albedo/lighting/depth factorization; no evidence-accumulation framing
S3-NeRF: neural reflectance field from shading and shadow under a single viewpoint (Yang et al.),2022,NeurIPS,https://arxiv.org/abs/2210.08936,multiple (varying point lights),fixed (per scene),likely yes (uncertain),single,RGB,geometry (NeRF) yes,yes (reflectance field),per-light handling (uncertain),yes (geometry+reflectance),no (per-scene optimization),none (per-scene optimization),DiLiGenT + LUCES (uncertain),single-viewpoint varying-light neural field reconstruction,DANGEROUS - single camera + varying lights + joint geometry/material,per-scene optimization not feed-forward; no permutation-invariant set aggregation; no variable-N study; no SH light output
PS-NeRF: neural inverse rendering for multi-view photometric stereo (Yang et al.),2022,ECCV,https://arxiv.org/abs/2207.11406,multi-view x multi-light,fixed (per scene),no (unknown directional lights),multi-view,RGB,mesh+normals yes,yes (BRDF),per-light estimation,yes (geometry+BRDF+lights),no (per-scene optimization),none (per-scene optimization),DiLiGenT-MV,NeRF-based MVPS jointly optimizing geometry BRDF and lights,joins unknown-light joint factor recovery (but multi-view),multi-view; per-scene slow optimization; no variable-N generalization; RGB
MVPSNet: fast generalizable multi-view photometric stereo (Zhao et al.),2023,CVPR,https://arxiv.org/abs/2305.11167,multi-view x multi-light,fixed,calibrated (uncertain),multi-view,RGB,mesh+normals yes,no (uncertain),no,no (geometry-focused),uncertain,synthetic + DiLiGenT-MV,DiLiGenT-MV,feed-forward generalizable MVPS with lighting-aware features,generalizable multi-light reconstruction precedent,multi-view geometry focus; calibrated setup; no joint lighting output
Multi-view photometric stereo: a robust solution and benchmark (DiLiGenT-MV Li et al.),2020,TPAMI,https://sites.google.com/site/photometricstereodata/mv,20 views x 96 lights,fixed,yes,multi-view,RGB,mesh+normals,yes (uncertain),no,no,no,none (optimization),DiLiGenT-MV,MVPS optimization solution + benchmark,our DiLiGenT evaluation target source,dataset/solver; calibrated; multi-view; no variable-N
OpenIllumination: a multi-illumination dataset for inverse rendering,2023,NeurIPS Datasets & Benchmarks,https://arxiv.org/abs/2309.07921,multiple point lights per object,fixed (per object),yes (calibrated rig),single (turntable views),RGB,GT geometry/materials,yes (GT),known point lights,dataset only,dataset only,none (dataset),64 real objects 108K images,multi-illumination inverse-rendering evaluation benchmark,HIGH - direct competitor benchmark for our oracle-light relighting protocol,dataset not method; calibrated lights; supports per-scene optimization baselines
Intrinsic image decomposition via ordinal shading (Aksoy et al.),2023,ACM TOG,https://yaksoy.github.io/intrinsic/,1 (uses multi-illumination data only for training),fixed (single image at test),no,single,RGB,shade maps (no geometry),yes (reflectance),ordinal shading,no,no,supervised on multi-illumination-derived pseudo-GT,MIT multi-illumination dataset,ordinal-shading-guided single-image intrinsic decomposition,bridges multi-illumination data to albedo/shading learning,test-time single image; no geometry/lighting output; no set-based model
Joint material and illumination estimation from photo sets in the wild (Wang-Ritschel-Mitra),2018,3DV,https://arxiv.org/abs/1710.08313,sets of photos (few),variable (sets),no (unknown sharp lighting),multi-view (uncertain poses),RGB,uncertain,yes (material),illumination (sharp maps),yes (material+illumination),no (optimization+CNN init),synthetic,real internet photo sets,CNN-initialized optimization over photo sets for material+lighting,DANGEROUS - photo-set joint material/illumination under unknown lights,no normals/depth focus; unposed internet photos; no variable-N generalization protocol; pre-deep-set era
Learning indoor inverse rendering with 3D spatially-varying lighting (Li et al. NVIDIA),2021,ICCV,https://research.nvidia.com/labs/toronto-ai/inverse-rendering-3d-lighting/,1,fixed (single image),no (spatially-varying 3D),single,RGB,depth+normals yes,yes,3D spatially-varying lighting (volume),yes (albedo+depth+normal+lighting),no (single input),synthetic indoor + real,real indoor scenes,single-image joint indoor inverse rendering with 3D lighting volume,DANGEROUS - joint decomposition incl. depth and lighting,single-image only; RGB indoor scenes; no multi-light N aggregation; no DiLiGenT zero-shot
nvdiffrec: extracting triangular 3D models materials and lighting from images (Munkberg et al.),2022,CVPR,https://nvlabs.github.io/nvdiffrecmc/,multi-view (many),fixed,env lighting unknown (optimized),multi-view,RGB,mesh + normals,yes (albedo/roughness),environment map (unknown),yes (geometry+material+light),no (per-scene optimization),none (per-scene optimization),own synthetic + DTU-class,mesh-based inverse rendering with differentiable rasterization,physical joint factorization reference,multi-view; per-scene; assumes static environment (not per-light SH); RGB
InvRender: modeling indirect illumination for inverse rendering (Zhang et al.),2022,CVPR,https://zju3dv.github.io/invrender/,multi-view,fixed,unknown env (NeRF-derived),multi-view,RGB,geometry yes,yes,indirect illumination (NeRF-based),yes (geometry+albedo+indirect),no (per-scene optimization),none (per-scene optimization),Blender synthetic + real,NeRF-based IR handling indirect light,physical factorization reference,multi-view; per-scene; no variable-N; no single-view multi-light setting
NeILF: neural incident light field (Liu et al.),2022,ECCV,https://arxiv.org/abs/2203.07182,multi-view (with given geometry),fixed,unknown (5D light field),multi-view,RGB,no (geometry given),yes,5D incident light field,yes (material+lighting),no (per-scene optimization),none (per-scene optimization),synthetic + real,mesh-conditioned incident light field estimation,lighting-as-field factorization reference,requires input geometry; multi-view; per-scene; no variable-N
TensoIR: tensorial inverse rendering (Jin et al.),2023,CVPR,https://arxiv.org/abs/2304.12461,multi-view,fixed,unknown env (SH),multi-view,RGB,geometry+normals,yes (albedo+roughness),environment SH,yes (geometry+material+light),no (per-scene optimization),none (per-scene optimization),Blender synthetic + real,TensoRF-based physical IR with SH env light,closest IR formulation to SH-light factorization (but multi-view),multi-view; per-scene; RGB; no single-view multi-light variable-N problem
Neural pre-integrated lighting for reflectance decomposition (Neural-PIL Boss et al.),2021,NeurIPS,https://proceedings.neurips.cc/paper_files/paper/2021/hash/58ae749f25eded36f486bc85feb3f0ab-Abstract.html,multi-view,fixed,unknown (latent env),multi-view,RGB,geometry (NeRF),yes (albedo/roughness),latent env + pre-integration,yes (shape+reflectance+light),no (per-scene optimization),none (per-scene optimization),DTU + synthetic,pre-integrated lighting for fast NeRF IR,material-light factorization precedent,multi-view; per-scene; RGB
Free-viewpoint indoor neural relighting from multi-view stereo (Philip et al.),2021,ACM TOG (SIGGRAPH Asia),https://doi.org/10.1145/3469842,multi-view,calibrated (uncertain),yes (uncertain),multi-view,RGB,depth (MVS),yes,spatially-varying lighting,yes (geometry+albedo+lighting),no (per-scene pipeline),none (pipeline),real indoor captures + synthetic,relighting with held-out light evaluation,HIGH - held-out-light relighting evaluation protocol precedent,multi-view pipeline not set-aggregation network; per-scene; no variable-N
MVInverse: feed-forward multiview inverse rendering in seconds,2025,arXiv (preprint),https://arxiv.org/abs/2512.21003,multi-view,variable (uncertain),unknown (uncertain),multi-view,RGB,geometry yes,materials yes,illumination yes,yes (geometry+material+lighting),uncertain (feed-forward),synthetic + real,standard multi-view IR benchmarks,feed-forward generalizable multi-view inverse rendering,DANGEROUS if extended to single-view - feed-forward joint IR,still multi-view; preprint; no single-view multi-light variable-N protocol
Set transformer: framework for attention-based permutation-invariant networks (Lee et al.),2019,ICML,https://proceedings.mlr.press/v97/lee19d.html,arbitrary sets,variable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes by design,none,none,attention-based set architecture with permutation invariance,our mean-aggregation architecture precedent,architecture paper only - no inverse rendering task
Deep learning methods for calibrated photometric stereo and beyond (survey Ju et al.),2024,TPAMI,https://arxiv.org/abs/2212.08414,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,DiLiGenT-family,survey of deep calibrated/uncalibrated PS,input aggregation analysis reference,survey not method
SGRNet (citation verification note),2022,AAAI (shadow generation - NOT photometric stereo),https://arxiv.org/abs/2104.10338,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,DESOBA dataset,none,two-stage shadow generation network for image composition,task-brief listed SGRNet as PS method,VERIFICATION RESULT: no photometric-stereo SGRNet exists; SGRNet is shadow generation (Hong et al. AAAI 2022)
Light-Net (citation verification note),uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,unverified method name from task brief,task-brief listed Light-Net as uncalibrated PS work,VERIFICATION RESULT: could not verify any Light-Net photometric-stereo paper; fields left uncertain rather than fabricated
